#REF!,No,Name proyect,Orientation,Defect,Urgency,Drop,Level,PHOTO 1,PHOTO 2,PHOTO 3,PHOTO 4,PHOTO 5,PHOTO 6,PHOTO 7,PHOTO 8,PHOTO 9,STATUS,STATUS,,,TECHNICIAN START,DATE 1ST PHOTO,TIME 1ST PHOTO,TECHNICIAN COMPLETED,DATE COMPLETED,TIME COMPLETED,mapping,NAME PROJECT:,COMMENT ,Base (m),Height (m),Linear Meters,Quantity
11,11,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/yfighO76yBHPL9DSw7hr.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Z00iHaWTWRkUlmimNpXt.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:45:21,,17/08/2026,10:56:09,,,,,,,
12,12,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/3ruwTzWkikz3BMI5NGtB.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/eMeLeiVhCzQS7KWwGtPY.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:47:12,,17/08/2026,10:56:48,,,,,,3,
13,13,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/9F01LgMIlHvi2ixqJYA1.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:47:54,,17/08/2026,11:00:05,,,,,,,
14,14,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/bDh3F2FTUSMFVSsQGfve.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:48:13,,17/08/2026,11:02:00,,,,,,4,
15,15,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/l7SioXvvfpRVdTrscUMP.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/FRSvrK9it1WJCefaaZyp.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:48:53,,17/08/2026,11:04:03,,,,,,,
16,16,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/6cE4dNPLPh4K0VWGP4iA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/fGERL4BfqdwpD8dBFmA0.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:49:32,,17/08/2026,11:05:57,,,,,,,
17,17,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/xx7hljBLa298LLUfzZrW.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:50:22,,17/08/2026,11:06:23,,,,,,,
18,18,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/TWaHiIKN0wxTHCljmXC2.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Av8k4wLJrqYtoF0leWON.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:51:51,,17/08/2026,11:06:35,,,,,,,
19,19,CRONULLA JOB,BUILDING,SKIM RENDERING,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/I7ZmuRBSYJ6LTPdveAZ1.jpg,,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:52:42,,17/08/2026,11:07:24,,,,,,2,
20,20,CRONULLA JOB,BUILDING,RENDER REPAIR,LOW,,G,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/8A09iW2tWbECNefq96tg.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Pwgy7JuJxZ3bqH42d2z2.jpg,,,,,,,,BEFORE,BEFORE,,,Seba Dadea,21/08/2026,11:53:42,,17/08/2026,11:08:05,,,,0.1,0.1,,
21,21,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/8algvlqVRBCqZz0mVCwc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/OWAa4lL7GEJiiXvmfNF8.jpg,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/wW03Ta4WrWSOMHEIOoQp.jpg,,,COMPLETED,COMPLETED,,,César Meneses,17/08/2026,12:02:35,Ali,22/09/2026,14:10:05,,,,,,2.4,
22,22,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/55SQWOlYiwkt8tzx0quk.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/h0H6z1aBDIneshkoU0B1.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,14:04:48,,17/08/2026,11:11:01,,,,,,4.2,
23,23,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/WUPOK180a052vs29PMiW.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,14:05:23,,17/08/2026,11:12:18,,,,,,2.75,
24,24,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/O8193jzm8W8TVcPgD8cQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Sx2ACmHyDkKxYJzhlPEY.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:43:17,,17/08/2026,11:14:13,,,,,,2.4,
26,26,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/dCF9lwFK6j8EOenoI0RP.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/9cPTGDvb2thhmni6dDqi.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/dM5ZOviK21O9VTnu7YYy.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/L8NYoNqnhyGsewH5jPIT.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/JzBoPfIZJ71aLmF1L9yV.jpg,,COMPLETED,COMPLETED,,FEEDBACK,César Meneses,17/08/2026,11:53:45,Drago,16/09/2026,14:56:44,,,,,,1.8,
28,28,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/ibCHCmRzSbdZmuQHn6yE.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,14:02:03,,17/08/2026,11:18:26,,,,1,0.3,,
25,25,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/SJ1LkdwMxNTpbHbs4WA6.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/qIcPz6jooEUdNJ3S2jlR.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Z1o8hMb9wQ1MuK8eiuSg.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/NUvuKUhzbkBVWgNWBjM0.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/zxpIL61OxpHMBxcp1LeF.jpg,,BEFORE,COMPLETED,CHECK,,César Meneses,17/08/2026,11:53:02,Ali Madad,17/09/2026,09:03:32,,,INTRODUCE NEW JOINT,,,0.6,
29,29,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/TmMYPGZcJv4BpeZ5j3OO.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Dw90S7ys7k178lsLr72t.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/1esu4TrRLNZlBjJJwpVj.jpg,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,14:03:08,,17/08/2026,11:20:02,,,INTRODUCE NEW JOINT,,,2.75,
27,27,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,LOW,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/bz3OTd4h3ovcPghnj001.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:58:38,,17/08/2026,11:18:02,,,,,,3.5,
30,30,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/MtsmFsb12KYZcMCxEidF.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,14:03:58,,17/08/2026,11:20:21,,,SKIM,,,1.45,
31,31,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/owhGiO4jMUuqb16hk1ju.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/AQMjgTcKWxtoYbGwgsCZ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/G6wyZZOQJisGo1M8VVhR.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,César Meneses,17/08/2026,11:44:29,,17/08/2026,11:20:32,,,,0.5,0.5,,
34,34,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/ontyeXT0SvMgqQDhntPQ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/COEqDXuWgMkXKbhtdNf6.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,14:00:57,,17/08/2026,11:27:02,,,INTRODUCE NEW JOINT,0.1,2.75,,
33,33,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,LOW,1,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/fu0wUECmKJkkGTYus6NW.jpg,,,,,,,,,IN PROGRESS,BEFORE,CHECK,,César Meneses,17/08/2026,11:50:56,Drago,16/09/2026,14:07:43,,,,,,3.5,
32,32,CRONULLA JOB,STAGE 1,SKIM RENDERING,LOW,1,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/2avyrQTMTCu3d9rLj7v1.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/eSrhMvpEJ3m3neRO0OoX.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/0CUJb4OnrD6FGAa6wBFp.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/cKYIJfAdsiV3jN2StG99.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/jQTGBIdnppWm0UiX0uj2.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/ujzdI2UhlGNGh2ycSezJ.jpg,,,BEFORE,COMPLETED,CHECK,FEEDBACK,César Meneses,17/08/2026,11:50:21,Ali Madad,17/09/2026,09:02:44,,,,,,1,
1326,1326,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,7,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/MY8lryClRRWjLDoYx9Ez.jpeg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/xDjpNkB5tbZNL8FFq5ad.jpeg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/vZs3CiwLWk28Pwp61E6t.jpg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/MK2Pyx6TSv2CvHDVHwtN.jpg,,,BEFORE,COMPLETED,CHECK,FEEDBACK,Nicolas Loyola,,,Ali Madad,17/09/2026,09:01:57,,,,0.3,0.3,,
35,35,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Adtd8Me2zK96oV1UG7bB.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:20:02,,17/08/2026,11:33:26,,,INTRODUCE NEW JOINT,0.2,0.6,,
38,38,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/bPvq51ajCsOQy7h4l3Mc.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,13:58:38,,17/08/2026,11:36:29,,,,0.3,0.3,,
1357,1357,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,1,8,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/DsDPYuCcxeXrxR8GZ8p5.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,17/09/2026,09:01:21,,,,,,,
37,37,CRONULLA JOB,STAGE 1,RESEALING WORKS,LOW,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/gVLjHy7RL7Swh4ZzqLnl.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:35:48,,17/08/2026,11:35:48,,,,,,1.4,
36,36,CRONULLA JOB,STAGE 1,SEAL WINDOW FRAME,MEDIUM,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/q9PS8XPrLkdXbNMt4fhJ.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Fy4tazJlm53E6rmgdPHp.jpg,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:33:46,,17/08/2026,11:33:46,,,,,,3.5,
39,39,CRONULLA JOB,STAGE 1,RENDER REPAIR,MEDIUM,1,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Evtb1q7B0wd81XeY8gSc.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KqW5xl4X2XMnT4iJZIZ4.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/ISCOVvIlJrmBoRq28ZG5.jpg,,,,,,,BEFORE,BEFORE,,,Nicolas Loyola,17/08/2026,11:06:23,,17/08/2026,11:36:56,,,,0.2,1.2,,
40,40,CRONULLA JOB,STAGE 1,RENDER REPAIR,MEDIUM,1,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/BJxbnX1jHgBE6S2Yx8FT.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/hyhnTbZnf4w3UiEzNU5D.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,César Meneses,17/08/2026,11:15:35,Nicolas Loyola,08/09/2026,14:51:17,,,,0.5,0.5,,
1296,1296,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/lsFVBdbbRtXczncS7clT.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/XUMdz8FzJFArG63uHrVF.jpg,,,,,,IN PROGRESS,IN PROGRESS,,,Nicolas Loyola,,,Nicolas Loyola,08/09/2026,14:35:53,,,,0.2,0.2,,
1356,1356,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,1,9,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/dHIDPIEKPAiTDzJg2NiJ.jpg,,,COMPLETED,COMPLETED,,,Ali Madad,,,,17/09/2026,09:00:41,,,,,,,
41,41,CRONULLA JOB,STAGE 1,RENDER REPAIR,MEDIUM,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Uw7L2TOPHMNODdxpEUt5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/YgpQnhT2M9jZVBjEJaUG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/BQptd4RyAyfjYVifYCp5.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/R3vAYR4Yc9q6WdGmh7xs.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/OTuEzEGgEUM9lh40mioo.jpg,,,,,COMPLETED,IN PROGRESS,CHECK,,César Meneses,17/08/2026,11:07:24,Drago,16/09/2026,13:50:49,,,,0.5,0.5,,
1355,1355,CRONULLA JOB,STAGE 1,RENDER REPAIR,HIGH,1,10,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/SrkdskZbMogb2teWBdCG.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/Ga9ZxJ2O7FdS6PMC2gO1.jpg,,COMPLETED,COMPLETED,,,Ali Madad,,,,17/09/2026,09:00:01,,,,,,,
42,42,CRONULLA JOB,STAGE 1,RENDER REPAIR TO SLAB EDGE,LOW,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/kRLAOYGP4zburLmdKBs6.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:11:01,,17/08/2026,11:42:29,,,,,,,
43,43,CRONULLA JOB,STAGE 1,DILAPITACION,LOW,1,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/ZWcTin3kMgidTnfBOHYt.jpg,,,,,,,,,BEFORE,BEFORE,,,César Meneses,17/08/2026,11:00:05,,17/08/2026,11:43:17,,,DILAPITACION EN FLYSCREEM MESH,,,,
1245,1245,CRONULLA JOB,STAGE 1,RENDER REPAIR,LOW,1,11,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/acsh6LJjbOnbH0ryn7a3.jpg,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/kjKojouku53QCwYtGx3L.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/XlktfHwJ33nQTBm0LCwM/pub/KeGCQJWL4N9VmQaMbrPw.jpg,,,,,BEFORE,IN PROGRESS,CHECK,,Nicolas Loyola,,,Nicolas Loyola,14/09/2026,11:35:36,,,,,,,
